Passagem 1: todas as impressoes em normal
Modo: all | tamanho: normal | concorrencia: 4
Leitura em streaming: ativa (sem fetchAll e sem carregar JSON bruto).

[248] baixada  Birds of Paradise | 1.10 MB/s
[249] baixada  Blade of Selves | 1.10 MB/s
[250] baixada  Blade of the Bloodchief | 1.10 MB/s
[251] baixada  Blessed Hippogriff // Tyr's Blessing | 1.10 MB/s
[252] baixada  Blood Artist | 1.10 MB/s
[253] baixada  Blood Celebrant | 1.10 MB/s
[254] baixada  Bloodthirsty Blade | 1.10 MB/s
[255] baixada  Blor the Impervious | 1.10 MB/s
[256] baixada  Blur | 1.10 MB/s
[257] baixada  Boss Uramon, Shadow's Reach | 1.10 MB/s
[258] baixada  Bothersome Quasit | 1.10 MB/s
[259] baixada  Braids, Arisen Nightmare | 1.11 MB/s
[260] baixada  Brainstealer Dragon | 1.11 MB/s
[261] baixada  Brave the Sands | 1.11 MB/s
[262] baixada  Breath Weapon | 1.11 MB/s
[263] baixada  Bria, Riptide Rogue | 1.11 MB/s
[264] baixada  Briarblade Adept | 1.11 MB/s
[265] baixada  Brinelin, the Moon Kraken | 1.11 MB/s
[266] baixada  Bulk Up | 1.11 MB/s
[267] baixada  Buried in the Garden | 1.11 MB/s
[268] baixada  Butcher Ghoul | 1.11 MB/s
[269] baixada  Cadira, Caller of the Small | 1.11 MB/s
[270] baixada  Caller of the Pack | 1.11 MB/s
[271] baixada  Caltrops | 1.12 MB/s
[272] baixada  Campfire | 1.11 MB/s
[273] baixada  Canal Courier | 1.12 MB/s
[274] baixada  Candlekeep Inspiration | 1.12 MB/s
[275] baixada  Cankerbloom | 1.12 MB/s
[276] baixada  Canopy Cover | 1.12 MB/s
[277] baixada  Case of the Lost Witness | 1.12 MB/s
[278] baixada  Cathartic Pyre | 1.12 MB/s
[279] baixada  Cave-In | 1.12 MB/s
[280] baixada  Chain of Acid | 1.12 MB/s
[281] baixada  Chainer's Edict | 1.12 MB/s
[282] baixada  Chakram Retriever | 1.12 MB/s
[283] baixada  Chakram Slinger | 1.13 MB/s
[284] baixada  Changeling Outcast | 1.13 MB/s
[285] baixada  Changeling Wayfinder | 1.12 MB/s
[286] baixada  Chaos Warp | 1.13 MB/s
[287] baixada  Chief Magistrate of Mercadia | 1.13 MB/s
[288] baixada  Chira, All In | 1.13 MB/s
[289] baixada  Chomping Changeling | 1.13 MB/s
[290] baixada  Chromatic Lantern | 1.13 MB/s
[291] baixada  Claws of Gix | 1.13 MB/s
[292] baixada  Clinquant Skymage | 1.13 MB/s
[293] baixada  Cloudkill | 1.13 MB/s
[294] baixada  Clown Car | 1.13 MB/s
[295] baixada  Coastline Marauders | 1.13 MB/s
[296] baixada  Codecracker Hound | 1.13 MB/s
[297] baixada  Coercive Portal | 1.13 MB/s
[298] baixada  Collective Resistance | 1.13 MB/s
[299] baixada  Colossal Skyturtle | 1.13 MB/s
[300] baixada  Combat Research | 1.14 MB/s
[301] baixada  Commander Eesha | 1.14 MB/s
[302] baixada  Commander Liara Portyr | 1.14 MB/s
[303] baixada  Commander's Sphere | 1.14 MB/s
[304] baixada  Conclave Evangelist | 1.14 MB/s
[305] baixada  Cone of Cold | 1.14 MB/s
[306] baixada  Contagious Vorrac | 1.14 MB/s
[307] baixada  Coronation of Chaos | 1.14 MB/s
[308] baixada  Corrupted Conviction | 1.14 MB/s
[309] baixada  Coruscation Mage | 1.14 MB/s
[310] baixada  Court of Ambition | 1.14 MB/s
[311] baixada  Court of Embereth | 1.14 MB/s
[312] baixada  Court of Garenbrig | 1.14 MB/s
[313] baixada  Court of Grace | 1.14 MB/s
[314] baixada  Court of Vantress | 1.15 MB/s
[315] baixada  Crashing Drawbridge | 1.14 MB/s
[316] baixada  Cromat | 1.15 MB/s
[317] baixada  Cryogen Relic | 1.14 MB/s
[318] baixada  Crystal Dragon // Rob the Hoard | 1.15 MB/s
[319] baixada  Curse of Disturbance | 1.14 MB/s
[320] baixada  Cut a Deal | 1.15 MB/s
[321] baixada  Dalkovan Packbeasts | 1.14 MB/s
[322] baixada  Dance of the Tumbleweeds | 1.15 MB/s
[323] baixada  Dauntless Dismantler | 1.14 MB/s
[324] baixada  Davvol, Evincar of Rath | 1.15 MB/s
[325] baixada  Dawn Charm | 1.14 MB/s
[326] baixada  Daydream | 1.15 MB/s
[327] baixada  Deathreap Ritual | 1.15 MB/s
[328] baixada  Debt to the Deathless | 1.15 MB/s
[329] baixada  Decree of Justice | 1.15 MB/s
[330] baixada  Deekah, Fractal Theorist | 1.15 MB/s
[331] baixada  Defensive Formation | 1.15 MB/s
[332] baixada  Delina, Wild Mage | 1.15 MB/s
[333] baixada  Demand Answers | 1.15 MB/s
[334] baixada  Descent into Avernus | 1.15 MB/s
[335] baixada  Destined // Lead | 1.15 MB/s
[336] baixada  Devouring Light | 1.15 MB/s
[337] baixada  Diamond Pick-Axe | 1.15 MB/s
[338] baixada  Disruptive Stormbrood // Petty Revenge | 1.15 MB/s
[339] baixada  Dragon Sniper | 1.15 MB/s
[340] baixada  Dragon's Smile | 1.15 MB/s
[341] baixada  Dragonhawk, Fate's Tempest | 1.15 MB/s
[342] baixada  Dreadmalkin | 1.15 MB/s
[343] baixada  Dream Fracture | 1.15 MB/s
[344] baixada  Dust to Dust | 1.15 MB/s
[345] baixada  Dyfed, the Guiding Hand | 1.15 MB/s
[346] baixada  Earthquake | 1.15 MB/s
[347] baixada  Ebony Fly | 1.15 MB/s
[348] baixada  Edric, Spymaster of Trest | 1.15 MB/s
[349] baixada  Ekthi, Contaminator Priest | 1.15 MB/s
[350] baixada  Elda, Conjurer of Spectacle | 1.15 MB/s
[351] baixada  Elesh Norn, Mother of Machines | 1.15 MB/s
[352] baixada  Emerald Collector | 1.15 MB/s
[353] baixada  Emiel the Blessed | 1.16 MB/s
[354] baixada  Empty the Warrens | 1.15 MB/s
[355] baixada  Emrakul's Messenger | 1.15 MB/s
[356] baixada  End the Festivities | 1.15 MB/s
